date,o,h,l,c,v,PE_Ratio,PB_Ratio,Turnover,60MA,30D_MA_slope,MA_bias,30D_CP_slope,MA_slope,bias,CP_slope,foreign_NetBuy_Sell,investment_NetBuy_Sell,dealer_NetBuy_Sell,foreign_holding,investment_holding,dealer_holding,Institutional_investors_holding,foreign_holding_ratio,investment_holding_ratio,dealer_holding_ratio,Institutional_investors_holding_ratio,macro_index,K9,MACD_Col,KD_HL,KD_Turn,KD_10_Slope,KD_30_Slope,KD_50_Slope,MACD_HL,MACD_Turn,MACD_Directions,MACD_Direction_Avg,MACD_Trends,MACD_Trend_Avg,RBK,Up,Down,Conti,Count,K_Pattern,Bullish_Hammer,Bullish_BeltHold,cross,inverted_Hammer,TYPE,TYPE2,TYPE2,forwardReturn_10D,forwardReturn_20D,forwardReturn_30D
20060102,6457.61,6492.92,6424.03,6462.06,4697272,12.8,1.7,0.75,6105.4,4.39,0.0568,16,Z+0D,Z+0.5D,Z+0.5D,15775,-34117,-25615,115138651,3390266,2651988,121180905,31.42,1.31,0.46,33.19,101.12,62.76,0.271,0,0,-0.204,-0.1814,1.2528,1,0,11,0,0,0,0.0007,0.0055,0.0059,1,None,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold_start,hold_start,0.040562916,0.039928444,0.026222288
20060103,6476.2,6591.77,6457.09,6591.77,5214136,13,1.73,0.97,6114.15,4.68,0.0752,15.9,Z+0D,Z+1D,Z+0.5D,-25603,-46268,41203,115113483,3351878,2694636,121159997,31.49,1.31,0.48,33.28,101.12,73.64,-0.24,0,1,-0.1253,-0.0833,1.4742,-1,0,1,9.56,1,0,0.0177,0.0177,0.0206,2,None,red_lower_shadows>upper_shadows,1,0,0,0,hold,hold,0,0.018093775,0.004906118,-0.009264583
20060104,6658.32,6670.96,6579.66,6616.44,5910065,13.1,1.74,1.14,6124.63,4.99,0.0772,16.16,Z+0D,Z+1D,Z+0.5D,301886,944,33941,115413934,3358440,2730427,121502801,31.69,1.31,0.49,33.49,101.12,75.07,2.51,0,0,-0.0541,-0.0578,1.6844,1,1,1,0,2,0,-0.0063,0.0019,0.0056,1,2R,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.017761818,0.002069089,-0.021423908
20060105,6669.8,6717.12,6666.84,6709.87,5851695,13.3,1.76,1.03,6137.13,5.32,0.0892,16.73,Z+0D,Z+1.5D,Z+0.5D,203309,-13644,20354,115616841,3351263,2755297,121723401,31.73,1.31,0.5,33.54,101.12,82.56,8.258,1,0,-0.038,-0.0008,1.9985,1,0,2,0,3,0,0.006,0.0071,0.0064,1,None,red_upper_shadows>_lower_shadows,0,1,0,0,hold,hold,0,-0.029446174,-0.017131479,-0.025581718
20060106,6757.41,6761.01,6676.65,6694.82,5904757,13.2,1.76,1.06,6149.22,5.67,0.085,17.04,Z+0.5D,Z+1D,Z+0.5D,102030,19187,21359,115718726,3376644,2778965,121874335,31.81,1.29,0.5,33.6,101.12,81.83,10.831,1,-1,-0.0583,-0.0626,0.8874,1,0,3,0,4,0,-0.0093,0.0005,0.0027,1,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.031097177,-0.019795902,-0.019894486
20060109,6752.09,6763.86,6708.59,6742.39,5368690,13.3,1.77,0.86,6164.49,6.06,0.0896,17.93,Z+0.5D,Z+1.5D,Z+1D,143377,36197,43820,115862713,3413732,2824667,122101112,32,1.29,0.5,33.79,101.12,85.78,12.953,1,1,-0.0152,0.0666,0.5233,1,0,4,0,5,0,-0.0014,0.0017,0.005,2,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.053455822,-0.019194974,-0.019132681
20060110,6751.56,6751.56,6678.84,6707.4,4473047,13.2,1.76,0.71,6179.1,6.47,0.082,17.92,Z+0.5D,Z+1D,Z+1D,144198,7998,835,116004678,3427430,2827068,122259176,31.88,1.28,0.5,33.66,101.12,84.98,10.79,1,-1,-0.0061,-0.0004,0.2344,1,-1,5,0,0,6.86,-0.0066,0,0.0043,3,None,black_without_upper_shadows,0,0,0,0,hold,hold,0,-0.038086293,-0.01623729,-0.009607299
20060111,6702.47,6741.92,6650.61,6735.89,5237215,13.2,1.77,0.83,6196.47,6.91,0.0835,18.27,Z+0.5D,Z+1D,Z+1D,233611,-10033,16367,116239122,3421311,2843851,122504284,31.75,1.24,0.5,33.49,101.12,87.24,8.122,1,1,0.0062,0.046,0.1876,1,0,6,0,0,0,0.005,0.0059,0.0127,1,3B,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.030242477,-0.007713903,-0.027053589
20060112,6782.15,6797.2,6725.57,6725.61,6004448,13.2,1.77,0.89,6212.76,7.36,0.0793,18.16,Z+0.5D,Z+1D,Z+1D,436305,11564,-68236,116675411,3434796,2780934,122891141,31.97,1.23,0.48,33.68,101.12,85.1,6.704,1,-1,0.0386,0.011,0.0672,1,0,7,0,0,0,-0.0084,0.0022,0,1,None,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.019479274,-0.007710825,-0.022277533
20060113,6729.58,6729.58,6669.64,6682.35,3806147,13.1,1.76,0.61,6228.49,7.83,0.0703,17.87,Z+0.5D,Z+1D,Z+0.5D,57565,-31953,-46849,116618863,3405373,2736359,122760595,31.84,1.22,0.47,33.53,101.12,78.81,1.028,0,0,0.2277,-0.1266,-0.0011,1,0,8,0,0,0,-0.007,0,0.0019,2,None,black_without_upper_shadows,0,0,0,0,hold,hold,0,0.00562826,0.000628521,-0.028163745
20060116,6680.88,6733.52,6664.8,6724.18,3088712,13.2,1.77,0.55,6245.27,8.32,0.0739,18.46,Z+0.5D,Z+1D,Z+1D,108514,6525,-2524,116729027,3411939,2737361,122878327,31.93,1.24,0.48,33.65,101.12,74.68,-2.351,0,0,0.014,-0.2001,-0.0345,-1,0,1,7.65,1,0,0.0065,0.0078,0.0089,1,2B,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.00060974,-0.013781606,-0.03935201
20060117,6752.24,6775.73,6711.04,6711.04,3908192,13,1.76,0.74,6261.76,8.83,0.0693,18.82,Z+0.5D,Z+1D,Z+1D,99114,-17782,-19962,116828477,3395702,2723618,122947797,32,1.24,0.48,33.72,101.12,63.53,-4.436,0,0,-0.1669,-0.3327,-0.2896,-1,0,2,0,2,0,-0.0061,0.0035,0,1,None,black_without_lower_shadows,0,0,0,0,hold,hold,0,-0.012953283,-0.026872139,-0.033462772
20060118,6620.77,6629.44,6467.73,6498.92,4604047,12.6,1.71,0.85,6275.07,9.32,0.0351,17.51,Z+0.5D,Z+0.5D,Z+0.5D,-360175,-32127,-114380,116467126,3364344,2617175,122448645,31.76,1.21,0.45,33.42,101.12,45.51,-19.567,0,0,-0.5956,-0.498,-0.6443,-1,0,3,0,3,0,-0.0186,0.0013,0.0048,2,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,0.020189508,-0.003728312,-0.001267903
20060119,6514.71,6545.89,6442.78,6512.29,3911936,12.7,1.71,0.74,6289.25,9.8,0.0348,15.65,Z+0.5D,Z+0.5D,Z+0.5D,-168765,-32300,-36376,116298468,3334899,2585872,122219239,31.71,1.2,0.44,33.35,101.12,36.88,-30.356,0,0,-0.797,-0.6105,-0.9045,-1,0,4,0,4,0,-0.0004,0.0048,0.0107,3,None,black_lower_shadows>upper_shadows,0,0,1,0,hold,hold,0,0.012688317,0.003981702,0.004965995
20060120,6571.64,6571.64,6475.3,6486.63,2935206,12.6,1.71,0.52,6303.48,10.26,0.0286,13.62,Z+0.5D,Z+0D,Z+0.5D,23828,-20465,-22836,116352721,3317960,2568936,122239617,31.83,1.2,0.43,33.46,101.12,28.71,-36.375,0,0,-1.0945,-0.7675,-1.1775,-1,0,5,0,5,0,-0.013,0,0.0017,4,None,black_without_upper_shadows,0,0,0,0,hold,hold,0,0.011663992,0.011562244,-0.004103826
20060123,6385.88,6417.72,6373.63,6381.97,2777545,12.4,1.68,0.49,6313.77,10.67,0.0107,10.82,Z+0.5D,Z+0D,Z+0.5D,-71516,-10562,-59495,116382920,3308787,2513104,122204811,31.9,1.18,0.41,33.49,101.12,19.8,-46.533,-1,0,-1.4567,-1.0572,-1.4871,-1,0,6,0,6,0,-0.0006,0.005,0.0013,5,None,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,0.03619572,0.036261531,0.021424419
20060124,6418.58,6478.5,6418.58,6451.94,2638291,12.5,1.7,0.48,6324.67,11.05,0.0199,8.39,Z+0.5D,Z+0D,Z+0D,-121347,-2284,-16357,116339724,3306734,2503240,122149698,31.87,1.21,0.42,33.5,101.12,19.36,-47.31,-1,0,-1.5055,-0.8162,-1.4899,-1,0,7,0,7,0,0.0052,0.0093,0.0052,1,5B,red_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,0.022714098,0.029606599,0.008220783
20060125,6500.63,6536.89,6477.34,6532.18,2775059,12.7,1.72,0.51,6335.7,11.37,0.0305,6.22,Z+1D,Z+0.5D,Z+0D,164714,28408,-1998,116668089,3337959,2504414,122510462,32,1.22,0.42,33.64,101.12,26.05,-41.549,0,1,-1.1838,-0.4211,-1.1398,-1,1,8,0,0,-26.7,0.0048,0.0056,0.0084,2,None,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,0.023231142,0.003288336,-0.000552649
20060203,6592.19,6626.43,6547.17,6594.6,3601717,12.8,1.73,0.68,6347.97,11.65,0.0381,4.47,Z+1D,Z+0.5D,Z+0D,255468,-4617,4913,116924232,3336240,2512237,122772709,31.89,1.23,0.42,33.54,101.18,35.68,-31.792,0,0,-0.7924,-0.4313,-0.8785,-1,0,9,0,0,0,0.0004,0.0052,0.0072,3,None,red_lower_shadows>upper_shadows,0,0,1,0,hold,hold,0,0.012002244,-0.00285385,-0.01183999
20060206,6568.35,6719.96,6530.8,6719.96,3930167,13,1.77,0.64,6361.44,11.92,0.0548,4.02,Z+1D,Z+0.5D,Z+0D,318198,25077,27174,117242235,3365649,2541599,123149483,32.03,1.22,0.43,33.68,101.18,52.5,-19.273,0,0,-0.3524,-0.2708,-0.5009,-1,0,10,0,0,0,0.0228,0.0228,0.0286,4,None,red_lower_shadows>upper_shadows,1,0,0,0,hold,hold,0,-0.004971756,-0.033602879,-0.038977911
20060207,6692.42,6747.43,6681.53,6720.08,4268641,12.9,1.77,0.73,6375.77,12.18,0.0526,3.96,Z+1D,Z+0.5D,Z+0D,432776,45148,34613,117674810,3411739,2579165,123665714,32.01,1.21,0.43,33.65,101.18,65.89,-8.019,0,0,0.0365,-0.1553,-0.1327,-1,0,11,0,0,0,0.0041,0.0082,0.0058,5,None,red_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.013179903,-0.038765908,-0.048930965
20060208,6712.87,6715.18,6623.23,6624.11,3101965,12.7,1.74,0.53,6388.68,12.43,0.0362,3.13,Z+1D,Z+0.5D,Z+0D,37149,-38411,-12085,117717340,3374194,2567875,123659409,31.93,1.19,0.43,33.55,101.18,66.26,-5.484,0,0,0.3757,-0.2309,-0.1889,-1,0,12,0,0,0,-0.0133,0.0003,0.0001,1,5R,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.014101517,-0.02077864,-0.039176584
20060209,6696.65,6700.86,6620.32,6630.13,3576195,12.7,1.74,0.67,6399.66,12.66,0.0354,2.56,Z+1D,Z+0.5D,Z+0D,151705,28606,-1038,117701411,3405170,2568115,123674696,31.99,1.18,0.42,33.59,101.18,67.05,-4.11,0,0,0.5978,-0.167,-0.1708,-1,0,13,0,0,0,-0.01,0.0006,0.0015,2,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.023444488,-0.02103277,-0.038236053
20060210,6652.33,6652.33,6574.01,6594.92,3472885,12.6,1.73,0.64,6409.77,12.85,0.0285,1.31,Z+1D,Z+0D,Z+0D,145429,4640,-29996,117998330,3411037,2539983,123949350,32.03,1.17,0.41,33.61,101.18,64.43,-6.08,0,-1,0.8083,-0.286,-0.2488,-1,-1,14,0,1,0,-0.0087,0,0.0032,3,None,black_without_upper_shadows,0,0,0,0,hold,hold,0,-0.008597527,-0.007625566,-0.026242926
20060213,6591.99,6623.55,6557.76,6562.29,2988051,12.6,1.72,0.52,6417.89,12.99,0.0223,0.43,Z+1D,Z+0D,Z+0D,-6312,-18685,-44101,117988257,3395681,2498098,123882036,31.99,1.16,0.41,33.56,101.18,57.52,-9.152,0,0,1.0665,-0.4108,-0.4152,-1,0,15,0,2,0,-0.0045,0.0048,0.0007,4,None,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.000100575,-0.015586023,-0.016524719
20060214,6553.28,6613.86,6540.71,6612.97,2814677,12.7,1.74,0.54,6426.71,13.08,0.0286,0,Z+1D,Z+0D,Z+0D,-154176,-18882,5172,117829106,3379281,2504866,123713253,31.91,1.18,0.42,33.51,101.18,55.09,-9.782,0,0,1.0458,-0.458,-0.3762,-1,0,16,0,3,0,0.0091,0.0092,0.011,1,4B,red_lower_shadows>upper_shadows,0,1,0,0,hold,hold,0,6.35E-05,-0.014255319,-0.017380995
20060215,6628.98,6659.52,6592.94,6598.49,3151733,12.7,1.73,0.66,6436.17,13.12,0.0249,-0.57,Z+1D,Z+0D,Z-0D,42744,-8480,-10992,117871475,3372326,2495889,123739690,31.9,1.19,0.42,33.51,101.18,47.14,-8.918,0,0,0.5931,-0.5954,-0.5896,-1,1,17,0,0,-8.34,-0.0046,0.0046,0.0008,1,None,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,0.006739421,-0.014171424,-0.007945757
20060216,6661.3,6701.74,6647.03,6683.93,3444106,12.9,1.76,0.65,6446.8,13.11,0.0361,-0.67,Z+1D,Z+0.5D,Z-0D,155393,-10002,25891,118025918,3363054,2523502,123912474,32.09,1.19,0.43,33.71,101.18,54.99,-3.979,0,1,0.4326,-0.4553,-0.4155,-1,0,18,0,0,0,0.0034,0.0061,0.0055,1,None,red_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.019490031,-0.02324381,-0.010466896
20060217,6723.66,6726.73,6665.63,6673.75,3282008,12.8,1.75,0.59,6457.68,13.06,0.0329,-0.56,Z+1D,Z+0.5D,Z-0D,247402,-26281,6066,118412818,3337807,2524091,124274716,32.13,1.18,0.43,33.74,101.18,58.11,-0.627,0,0,0.1015,-0.3429,-0.3705,-1,0,19,0,0,0,-0.0075,0.0005,0.0012,1,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.014679903,-0.023559468,-0.001946432
20060220,6652.55,6697.31,6631.81,6686.55,2779193,12.9,1.76,0.46,6467.35,12.97,0.0333,-0.59,Z+1D,Z+0.5D,Z-0D,122676,-23712,8776,118535826,3315605,2534153,124385584,32.23,1.16,0.43,33.82,101.18,64.87,0.583,0,0,-0.0156,0.0331,-0.3213,1,0,1,-17.67,1,0,0.0051,0.0067,0.0082,1,None,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.028774181,-0.03417607,-0.003133155
20060221,6708.21,6717.53,6631.51,6631.51,2730164,12.7,1.74,0.48,6476.15,12.81,0.0237,-1.64,Z+1D,Z+0D,Z-0D,105865,-32342,-27887,118642464,3288402,2508149,124439015,32.2,1.15,0.42,33.77,101.18,59.52,-0.45,0,-1,-0.1073,-0.2129,-0.427,-1,-1,1,0,2,0,-0.0115,0.0014,0,1,None,black_without_lower_shadows,0,0,0,0,hold,hold,0,-0.02592773,-0.036228551,0.01949933
20060222,6634.83,6650.71,6503.7,6530.7,3294359,12.6,1.72,0.61,6484.01,12.59,0.0072,-2.52,Z+1D,Z+0D,Z-0D,26615,-32360,-75037,118643740,3257963,2436185,124337888,32.27,1.13,0.4,33.8,101.18,43.72,-7.718,0,0,-0.4276,-0.5406,-0.7064,-1,0,2,0,3,0,-0.0158,0.0024,0.0041,2,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.006772628,-0.025433721,0.038470608
20060223,6523.85,6528.5,6466.21,6474.69,3005239,12.4,1.7,0.56,6489.86,12.33,-0.0023,-3.56,Z+1D,Z-0D,Z-0D,67099,-38498,-37873,118709704,3221027,2400558,124331289,32.23,1.11,0.38,33.72,101.18,30.23,-16.51,0,0,-0.7567,-1.0047,-0.9071,-1,0,3,0,4,0,-0.0076,0.0007,0.0013,3,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,0.002469616,-0.015146671,0.047253228
20060224,6474.05,6538.22,6473.8,6538.22,2792814,12.5,1.72,0.52,6496.97,12.03,0.0063,-3.48,Z+1D,Z+0D,Z-0D,145534,-24590,-29440,118804435,3178400,2371119,124353954,32.28,1.12,0.37,33.77,101.18,29.37,-19.119,0,0,-0.6722,-1.0247,-0.8382,-1,0,4,0,5,0,0.0099,0.0099,0.0099,1,3B,red_lower_shadows>upper_shadows,1,1,0,0,hold,hold,0,0.000980389,-0.017798422,0.033487708
20060227,6496.55,6567.91,6481.99,6561.63,2669270,12.5,1.73,0.5,6504.19,11.7,0.0088,-3.28,Z+1D,Z+0D,Z-0D,86490,-28642,29712,118897782,3149758,2401223,124448763,32.37,1.12,0.38,33.87,101.18,31.79,-18.625,0,1,-0.5498,-0.9926,-0.6656,-1,1,5,0,0,-8.64,0.01,0.0109,0.0122,2,None,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.015487006,-0.016425797,0.037623273
20060301,6518,6636.92,6518,6613.39,3085098,12.6,1.74,0.67,6511.02,11.36,0.0156,-2.36,Z+1D,Z+0D,Z-0D,-95100,-32290,26785,118802676,3118696,2429837,124351209,32.2,1.14,0.4,33.74,101.1,40.02,-14.193,0,0,-0.1637,-0.753,-0.3535,-1,0,6,0,0,0,0.0145,0.0181,0.0145,3,None,red_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.014317922,-0.017443399,0.036645351
20060302,6678.46,6685.45,6637.9,6642.96,3096024,12.7,1.75,0.66,6519.41,11.03,0.0188,-1.43,Z+0.5D,Z+0D,Z-0D,92171,-23368,19549,118894897,3099369,2450943,124445209,32.43,1.15,0.41,33.99,101.1,49.3,-7.189,0,0,-0.1092,-0.5707,0.1185,-1,0,7,0,0,0,-0.0053,0.001,0.0008,1,3R,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.020770861,-0.014586871,0.046602719
20060303,6643.79,6659.44,6543.43,6553.66,3028547,12.5,1.73,0.63,6525.24,10.7,0.0043,-0.86,Z+0.5D,Z+0D,Z-0D,85779,-65881,-32432,118990612,3036467,2421010,124448089,32.44,1.13,0.39,33.96,101.1,44.47,-7.326,0,-1,-0.2675,-0.649,0.1137,-1,-1,8,0,1,0,-0.0137,0.0024,0.0016,2,None,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.003828395,0.009202491,0.068119188
20060306,6547.73,6582.21,6531.5,6575.78,2289559,12.5,1.73,0.53,6531.84,10.37,0.0067,-0.13,Z+0.5D,Z+0D,Z-0D,25854,-62592,-28621,119059496,2977712,2393926,124431134,32.44,1.14,0.4,33.98,101.1,44.18,-7.861,0,0,-0.3841,-0.5788,-0.2176,-1,0,9,0,2,0,0.0043,0.0053,0.0068,1,2B,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.009011859,0.012923182,0.062909647
20060307,6553.97,6557.15,6494.15,6494.15,2514583,12.4,1.71,0.53,6536.26,10.05,-0.0065,-0.15,Z+0.5D,Z-0D,Z-0D,-109096,-28025,-17312,118950002,2950265,2380425,124280692,32.39,1.13,0.39,33.91,101.1,33.7,-11.482,0,0,-0.5688,-0.7957,-0.7141,-1,0,10,0,3,0,-0.0092,0.0005,0,1,None,black_without_lower_shadows,0,0,0,0,hold,hold,0,-0.005561929,0.026400684,0.083864709
20060308,6487.07,6521.27,6436.14,6459.57,2681292,12.4,1.71,0.58,6538.12,9.71,-0.0121,-0.03,Z+0.5D,Z-0D,Z-0D,-169620,-24965,-13578,118782765,2928530,2369112,124080407,32.17,1.13,0.39,33.69,101.1,25.6,-15.823,0,0,-0.5352,-0.9089,-1.1007,-1,0,11,0,4,0,-0.0042,0.0053,0.0036,2,None,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.010575007,0.046636231,0.099568547
20060309,6476.96,6505.56,6465.23,6486.47,2176550,12.4,1.71,0.43,6540.38,9.37,-0.0083,0.29,Z+0.5D,Z-0D,Z+0D,-9592,13031,-10040,118773145,2941769,2356531,124071445,32.22,1.11,0.38,33.71,101.1,23.8,-16.678,0,0,-0.2391,-0.6482,-1.2548,-1,0,12,0,5,0,0.0015,0.0044,0.0033,1,2B,red_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,-0.018788339,0.045551741,0.093514654
20060310,6492.04,6528.56,6473.18,6490.68,2339072,12.4,1.72,0.54,6543.07,9.02,-0.008,-0.73,Z+0.5D,Z-0D,Z-0D,60975,-16743,-12805,118834674,2930974,2345478,124111126,32.38,1.12,0.38,33.88,101.1,23.16,-15.71,0,0,-0.2375,-0.4652,-1.2301,-1,1,13,0,0,-11.83,-0.0002,0.0056,0.0027,1,None,black_upper_shadows>_lower_shadows,0,0,1,0,hold,hold,0,-0.017572889,0.044673285,0.093266037
20060313,6520.36,6551.13,6502.51,6544.63,2393040,12.5,1.73,0.53,6547.99,8.68,-0.0005,-1.3,Z+0.5D,Z-0D,Z-0D,88330,8169,4414,118922461,2940500,2350309,124213270,32.36,1.14,0.39,33.89,101.1,29.95,-11.692,0,1,-0.0596,0.0423,-1.052,-1,0,14,0,0,0,0.0037,0.0047,0.0065,1,None,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.018760419,0.03247548,0.078737835
20060314,6532.25,6545.12,6444.14,6460.01,2663918,12.4,1.71,0.56,6551.25,8.34,-0.014,-2.61,Z+0.5D,Z-0D,Z-0D,-97449,-16479,-36269,118825312,2926026,2316336,124067674,32.31,1.14,0.38,33.83,101.1,23.16,-12.223,0,-1,-0.547,0.1567,-1.3205,-1,-1,15,0,1,0,-0.0111,0.002,0.0025,1,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,-0.000953559,0.053945737,0.109747508
20060315,6516.14,6534.61,6478.71,6518.7,2755966,12.5,1.73,0.61,6555.46,7.99,-0.0056,-4.25,Z+0.5D,Z-0D,Z-0D,32188,-34021,-14307,118857661,2895968,2307810,124061439,32.42,1.15,0.39,33.96,101.1,27.76,-9.566,0,1,-0.5743,0.3604,-1.1433,-1,1,16,0,0,-12.22,0.0004,0.0028,0.0062,1,None,red_lower_shadows>upper_shadows,0,0,1,0,hold,hold,0,-0.003170878,0.051703561,0.09472901
20060316,6528.14,6594.18,6504.98,6504.98,3415297,12.5,1.72,0.83,6559.52,7.63,-0.0083,-5.55,Z+0.5D,Z-0D,Z-0D,-1072,-22673,-8383,118935925,2874661,2311615,124122201,32.42,1.16,0.4,33.98,101.1,33.03,-6.354,0,0,-0.2974,0.2374,-0.9511,-1,0,17,0,0,0,-0.0036,0.0101,0,1,None,black_without_lower_shadows,0,0,0,0,hold,hold,0,0.006315162,0.068802671,0.102504543
20060317,6507.55,6530.43,6471.71,6528.57,2710641,12.5,1.73,0.58,6564.41,7.28,-0.0055,-6.18,Z+0.5D,Z-0D,Z-0D,-91018,-15487,-17383,118991812,2864601,2299495,124155908,32.16,1.16,0.39,33.71,101.1,41.51,-4.673,0,0,-0.0623,0.1513,-0.7365,-1,0,18,0,0,0,0.0032,0.0035,0.0087,1,None,red_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,0.013080966,0.072224086,0.102783611
20060320,6554.18,6569.53,6510.58,6516.52,2737961,12.4,1.72,0.63,6568.71,6.93,-0.008,-6.45,Z+0.5D,Z-0D,Z-0D,-1435,-30796,-15050,118992018,2835804,2291095,124118917,32.11,1.15,0.4,33.66,101.1,44.63,-2.375,0,0,0.2809,-0.1624,-0.6068,-1,0,19,0,0,0,-0.0058,0.0023,0.0009,1,None,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,0.022134514,0.072575546,0.111386139
20060321,6525.3,6536.01,6458.03,6458.03,2437966,12.3,1.71,0.58,6570.5,6.6,-0.0173,-6.19,Z+0.5D,Z-0D,Z-0D,-45640,-27215,-20324,120087148,2811801,2273551,125172500,32.37,1.12,0.38,33.87,101.1,32.84,-3.905,0,-1,0.2491,-0.6963,-0.6477,-1,-1,20,0,1,0,-0.0104,0.0016,0,2,None,black_without_lower_shadows,0,0,0,0,hold,hold,0,0.032141381,0.089926804,0.137349935
20060322,6419.46,6441.27,6387.36,6391.26,2434069,12.2,1.69,0.52,6569.83,6.26,-0.0276,-6.25,Z+0.5D,Z-0D,Z-0D,-274677,-7382,-28155,119815243,2805237,2250226,124870706,32.17,1.12,0.38,33.67,101.1,22.52,-9.275,0,0,-0.0553,-1.0792,-1.1848,-1,0,21,0,2,0,-0.0044,0.0034,0.0006,3,None,black_upper_shadows>_lower_shadows,0,0,0,0,hold,hold,0,0.057822714,0.111320772,0.153206097
20060323,6412.66,6418.48,6344.73,6364.6,2376518,12.1,1.69,0.56,6568.78,5.92,-0.0316,-7,Z+0.5D,Z-0.5D,Z-0D,-94508,-21738,-35678,119738649,2784854,2220757,124744260,32.19,1.1,0.37,33.66,101.1,17.67,-13.874,-1,0,-0.2706,-1.3336,-1.4466,-1,0,22,0,3,0,-0.0075,0.0009,0.0031,4,None,black_lower_shadows>upper_shadows,0,0,0,0,hold,hold,0,0.065572071,0.114453383,0.174315746
20060324,6366.96,6401.62,6351.89,6376.62,2281254,12.6,1.69,0.5,6567.19,5.57,-0.0294,-7.52,Z+0D,Z-0.5D,Z-0D,1857,-2180,897,119742997,2783533,2223463,124749993,32.16,1.08,0.36,33.6,101.1,16.04,-15.594,-1,0,-0.6244,-1.3905,-1.6384,-1,0,23,0,4,0,0.0015,0.0054,0.0039,1,4B,red_upper_shadows>_lower_shadows,0,0,0,0,hold,hold_end,hold_end,0.063359585,0.112821526,0.158754952
20060327,6408.2,6430.23,6399.08,6421.85,2117775,12.2,1.7,0.42,6567.27,5.21,-0.0224,-7.87,Z+0D,Z-0D,Z-0D,89063,-10383,-11393,119846846,2774656,2216103,124837605,32.22,1.09,0.36,33.67,101.1,21,-12.96,0,1,-0.0979,-1.0076,-1.3601,-1,1,24,0,0,-10.66,0.0021,0.0034,0.0036,2,None,red_lower_shadows>upper_shadows,0,1,0,0,up,up_start,up_start,0.052215483,0.099362333,0.140591886
20060328,6433.23,6469.67,6424.94,6453.85,2089763,12.3,1.71,0.45,6566.29,4.83,-0.0173,-8.16,Z+0D,Z-0D,Z-0D,42021,5117,-6374,119888896,2779818,2212896,124881610,32.33,1.1,0.36,33.79,101.1,28.58,-8.294,0,0,0.0291,-0.6563,-1.0991,-1,0,25,0,0,0,0.0032,0.0056,0.0045,3,None,red_upper_shadows>_lower_shadows,0,0,0,0,up,up,0,0.054951695,0.110806728,0.140629237
20060329,6447.7,6498.03,6444.4,6498.03,2420386,12.4,1.72,0.52,6565.67,4.44,-0.0104,-7.78,Z+0D,Z-0D,Z-0D,59437,4441,31429,119948254,2784421,2246197,124978872,32.4,1.12,0.37,33.89,101.1,41.78,-2.473,0,0,0.235,-0.1207,-0.71,-1,0,26,0,0,0,0.0078,0.0078,0.0083,4,None,red_lower_shadows>upper_shadows,1,1,0,0,up,up,0,0.055048992,0.098211304,0.120179501
